Product,Energy (kCal)
Corn n Cheese (Personal),432.6
Country Feast (Personal),407.6
Double Cheese (Personal),423.33
Double Paneer Supreme (Personal),474.03
Farmer`s Pick (Personal),408.16
Margherita (Personal),361.73
Spiced Paneer (Personal),408.01
Tandoori Onion (Personal),410.16
Tandoori Paneer (Personal),532.08
Veg Exotica (Personal),363.05
Veg Kebab Surprise (Personal),520.4
Veggie Feast (Personal),408.06
Veggie Lover (Personal),411.72
Veggie Supreme (Personal),426.59
Veggie Tandoori (Personal),432.21
Momo Mia Veg (Personal),510.19
Momo Mia Chicken (Personal),516.63
Chicken n Corn Delight (Personal),421.56
Chicken Pepper Crunch (Personal),447.43
Chicken Pepperoni (Personal),439.17
Chicken Sausage (Personal),443.02
Chicken Supreme (Personal),445.19
Chicken Tikka Supreme (Personal),434.67
Double Chicken Sausage (Personal),445.29
Italian Chicken Feast (Personal),449.4
Malai Chicken Tikka (Personal),425.45
Spiced Chicken Meatball (Personal),394.79
Triple Chicken Feast (Personal),424.46
Chicken Tikka (Personal),394.73
Veggie Tandoori (Medium),563.14
Momo Mia Veg (Medium),627.36
Corn n Cheese (Medium),557.7
Country Feast (Medium),542.71
Double Cheese (Medium),542.58
Double Paneer Supreme (Medium),607.41
Farmer`s Pick (Medium),528.07
Margherita (Medium),459.03
Spiced Paneer (Medium),532.754
Tandoori Onion (Medium),523.36
Tandoori Paneer (Medium),682.97
Veg Exotica (Medium),455.67
Veg Kebab Surprise (Medium),689.23
Veggie Feast (Medium),532.89
Veggie Lover (Medium),536.92
Veggie Supreme (Medium),550.26
Chicken n Corn Delight (Medium),444.9
Chicken Pepper Crunch (Medium),591.94
Chicken Pepperoni (Medium),561.68
Chicken Sausage (Medium),567.29
Chicken Supreme (Medium),585.84
Chicken Tikka Supreme (Medium),563.43
Double Chicken Sausage (Medium),568.53
Italian Chicken Feast (Medium),561.95
Malai Chicken Tikka (Medium),547.62
Spiced Chicken Meatball (Medium),505.95
Triple Chicken Feast (Medium),554.98
Chicken Tikka (Medium),588.84
Momo Mia Chicken (Medium),634.16
Corn n Cheese (Personal),332.61
Country Feast (Personal),376.45
Double Cheese (Personal),370.43
Double Paneer Supreme (Personal),414.59
Farmer`s Pick (Personal),361.77
Margherita (Personal),311.42
Spiced Paneer (Personal),359.58
Tandoori Onion (Personal),365.21
Tandoori Paneer (Personal),477.47
Veg Exotica (Personal),335.82
Veg Kebab Surprise (Personal),472.77
Veggie Feast (Personal),362.03
Veggie Lover (Personal),390.8
Veggie Supreme (Personal),382.29
Veggie Tandoori (Personal),388.81
Chicken n Corn Delight (Personal),310.91
Chicken Pepper Crunch (Personal),388.89
Chicken Pepperoni (Personal),385.35
Chicken Sausage (Personal),374.33
Chicken Supreme (Personal),1309.75
Chicken Tikka Supreme (Personal),405.84
Double Chicken Sausage (Personal),386.9
Italian Chicken Feast (Personal),407.76
Malai Chicken Tikka (Personal),385.98
Spiced Chicken Meatball (Personal),354.86
Triple Chicken Feast (Personal),462.99
Chicken Tikka (Personal),407.65
Veggie Tandoori (Medium),480.3
Corn n Cheese (Medium),406.53
Country Feast (Medium),481.67
Double Cheese (Medium),443.92
Double Paneer Supreme (Medium),507.01
Farmer`s Pick (Medium),454.66
Margherita (Medium),369.29
Spiced Paneer (Medium),446.9
Tandoori Onion (Medium),440.04
Tandoori Paneer (Medium),586.42
Veg Exotica (Medium),401.67
Veg Kebab Surprise (Medium),603.65
Veggie Feast (Medium),450.64
Veggie Lover (Medium),486.61
Veggie Supreme (Medium),473.08
Chicken n Corn Delight (Medium),392.84
Chicken Pepper Crunch (Medium),492.59
Chicken Pepperoni (Medium),466.92
Chicken Sausage (Medium),451.49
Chicken Supreme (Medium),485.2
Chicken Tikka Supreme (Medium),490.49
Double Chicken Sausage (Medium),466.64
Italian Chicken Feast (Medium),485.05
Malai Chicken Tikka (Medium),473.47
Spiced Chicken Meatball (Medium),432.56
Triple Chicken Feast (Medium),583.99
Chicken Tikka (Medium),516.89
Cheese Maxx (Personal),147.38
Veg kebab (Personal),192.02
Chicken Seekh Kebab (Personal),194.67
Cheese Maxx (Medium),149.37
Veg kebab (Medium),202.06
Chicken Seekh Kebab (Medium),204.75
Classic Paneer Capsicum & Onion,443.87
Schezwan Meatball & Capsicum,401.27
Spicy Baked Chicken Wings,140.22
Garlic Bread,246.73
Garlic Bread Spicy Supreme,270.17
Cheesy Comfort (Veg),332.02
Cheesy Comfort (Chicken),439.02
Indi Rockin Roll - Veg,289.81
Indi Rockin Roll - Chicken,255.65
Zesty Pocket (Veg),192.91
Zesty Pocket (Chicken),157.99
Baked Momos (Veg),218.975
Baked Momos (Chicken),223.71
Tear and Share (Veg),424.82
Tear and Share (Chicken),442.46
Choco Vanilla Romance,90.48
Ebony & Ivory,201.84
Choco Chip Cookie Sundae (Regular),433.72
Jamuntini,134.0
Masal Pepsi,126.5
Masala Mirinda,156.5
Pepsi,107.5
7 up,115.0
Mirinda,137.5
Lipton Ice Tea Lemon Flavoured,0.0
Pepsi Black,74.0
Crispy veg,426.7
BK veggie,398.2
Veg Chilli Cheese,422.6
Paneer king,525.8
Veg Supreme,374.1
Veg Surprise,385.1
Veg Whopper,749.0
Masala Whopper Veg,753.2
BK Grill,332.1
Chicken Tandoori Grill,369.1
Chicken Chilli Cheese,406.1
Chicken kheema,369.1
Crispy chicken,345.2
Xtra Long chicken,533.5
Chicken whopper,662.0
Mutton Whopper,624.2
Fiery chicken (South),400.0
Fiery Chicken (North & West),409.1
Masala Whopper Chicken,664.9
Masala Whopper Mutton,631.4
Chicken fries 5 pcs,206.0
Chicken fries 9 pcs,370.7
Chicken wings Fried ( 2Pcs),167.5
Chicken wings Fried ( 4Pcs),332.8
Chicken wings Fried ( 8Pcs),665.7
Chicken wings Fried ( 15Pcs),1224.0
Chicken wings Grilled ( 2Pcs),167.5
Chicken wings Grilled ( 4Pcs),335.0
Chicken wings Grilled ( 8Pcs),669.9
Chicken wings Grilled ( 15Pcs),1275.5
Fiery Rings 2Pcs,137.6
Fiery Rings 4Pcs,275.3
Veg strips 3 Pcs,136.6
Veg strips 6 Pcs,273.2
Potato Tots 8 Pcs,155.9
Fries Regular,263.9
Medium Fries,406.6
King fries,535.0
Cheesy fries,460.9
Cheesy Italian fries,530.9
Chicken keema Fries,541.4
"Sausage, Egg & Cheddar Classic Breakfast Sandwich",500.0
"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg WhiteBreakfast Sandwich",230.0
"Bacon, Gouda & Egg on Artisan Roll",350.0
"Spinach, Feta & Egg White Breakfast Wrap",290.0
"Roasted Ham, Swiss & Egg on Croissant Bun",450.0
Egg & Cheddar on English Muffin,280.0
Double Smoked Bacon,490.0
Whole Grain Oatmeal,160.0
Maple Brown Sugar,50.0
Dried Fruit,100.0
Nut Medley,100.0
Cherry Oat Bar,240.0
Double Chocolate Chunk Brownie,380.0
Gluten Free Marshmallow Dream Bar,240.0
Oat Fudge Bar,360.0
Blueberry Bar,250.0
Oat Bar,360.0
Chocolate Chunk Cookie,380.0
Gluten Free Flourless Chocolate Cookie,170.0
Fruit & Oat Cookie,370.0
Multigrain Bagel,290.0
Everything with Cheese Bagel,270.0
Asiago & Cheddar Pretzel,360.0
Butter Croissant,270.0
Chocolate Croissant,330.0
Ham & Cheese Savoury Foldover,250.0
Pepperoni and Tomato Savoury Foldover,270.0
Spinach Savoury Foldover,250.0
Morning Bun,350.0
Cheese Danish,300.0
Baa Loaf,380.0
Lemon Loaf,430.0
Reduced Fat Cinnamon Swirl Coffee Cake,370.0
Birthday Cake Pop,180.0
